bins	AST_count_detec	AST_frac_detec	AUS_count_detec	AUS_frac_detec	BAN_count_detec	BAN_frac_detec	CAN_count_detec	CAN_frac_detec	CHI_count_detec	CHI_frac_detec	DEN_count_detec	DEN_frac_detec	ENG_count_detec	ENG_frac_detec	ETH_count_detec	ETH_frac_detec	FIJ_count_detec	FIJ_frac_detec	ISR_count_detec	ISR_frac_detec	ITA_count_detec	ITA_frac_detec	MAD_count_detec	MAD_frac_detec	MON_count_detec	MON_frac_detec	PER_count_detec	PER_frac_detec	SPA_count_detec	SPA_frac_detec	TAN_count_detec	TAN_frac_detec	USA_count_detec	USA_frac_detec
DA_MAG_00001	12.0	0.0784313725490196	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.06690140845070422	8.0	0.037914691943127965	0.0	0.0	0.0	0.0	3.0	0.009036144578313253	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.040983606557377046
DA_MAG_00002	91.0	0.5947712418300654	2.0	0.16666666666666666	16.0	0.5714285714285714	11.0	0.4782608695652174	134.0	0.7127659574468085	80.0	0.28169014084507044	120.0	0.5687203791469194	1.0	0.2	25.0	0.14534883720930233	107.0	0.32228915662650603	4.0	0.36363636363636365	102.0	0.9107142857142857	76.0	0.6909090909090909	13.0	0.3611111111111111	78.0	0.4936708860759494	13.0	0.48148148148148145	36.0	0.29508196721311475
DA_MAG_00003	3.0	0.0196078431372549	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.007042253521126761	4.0	0.018957345971563982	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0189873417721519	0.0	0.0	3.0	0.02459016393442623
DA_MAG_00004	2.0	0.013071895424836602	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.007042253521126761	2.0	0.009478672985781991	0.0	0.0	0.0	0.0	4.0	0.012048192771084338	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.1111111111111111	3.0	0.0189873417721519	0.0	0.0	0.0	0.0
DA_MAG_00005	44.0	0.2875816993464052	1.0	0.08333333333333333	0.0	0.0	7.0	0.30434782608695654	10.0	0.05319148936170213	67.0	0.23591549295774647	45.0	0.2132701421800948	0.0	0.0	0.0	0.0	29.0	0.08734939759036145	2.0	0.18181818181818182	0.0	0.0	10.0	0.09090909090909091	0.0	0.0	46.0	0.2911392405063291	0.0	0.0	18.0	0.14754098360655737
DA_MAG_00006	20.0	0.13071895424836602	0.0	0.0	0.0	0.0	4.0	0.17391304347826086	0.0	0.0	18.0	0.06338028169014084	8.0	0.037914691943127965	0.0	0.0	0.0	0.0	4.0	0.012048192771084338	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.10759493670886076	0.0	0.0	8.0	0.06557377049180328
DA_MAG_00007	82.0	0.5359477124183006	1.0	0.08333333333333333	0.0	0.0	6.0	0.2608695652173913	2.0	0.010638297872340425	66.0	0.2323943661971831	164.0	0.7772511848341233	0.0	0.0	0.0	0.0	160.0	0.4819277108433735	1.0	0.09090909090909091	42.0	0.375	12.0	0.10909090909090909	20.0	0.5555555555555556	65.0	0.41139240506329117	1.0	0.037037037037037035	30.0	0.2459016393442623
DA_MAG_00008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DA_MAG_00009	40.0	0.26143790849673204	1.0	0.08333333333333333	0.0	0.0	5.0	0.21739130434782608	4.0	0.02127659574468085	26.0	0.09154929577464789	51.0	0.24170616113744076	0.0	0.0	0.0	0.0	10.0	0.030120481927710843	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.05063291139240506	0.0	0.0	43.0	0.3524590163934426
DA_MAG_00010	48.0	0.3137254901960784	0.0	0.0	0.0	0.0	1.0	0.043478260869565216	4.0	0.02127659574468085	67.0	0.23591549295774647	47.0	0.22274881516587677	5.0	1.0	3.0	0.01744186046511628	115.0	0.3463855421686747	1.0	0.09090909090909091	43.0	0.38392857142857145	85.0	0.7727272727272727	22.0	0.6111111111111112	19.0	0.12025316455696203	9.0	0.3333333333333333	6.0	0.04918032786885246
